1342188037 |  211 | HD100546             |     |  11:33:25.44 | -70:11:41.20 |   23.62989 | Fri Dec 11 05:06:17 2009 UTC | Range | Nyquist     | SED B2B | chopNod   | small  |     | pointed                       | SDP_nevans_3             |  8785 |   4  | 
1342188038 |  211 | HD100546             |     |  11:33:25.44 | -70:11:41.20 |   23.60728 | Fri Dec 11 06:57:01 2009 UTC | Range | Nyquist     | SED B2A | chopNod   | small  |     | pointed                       | SDP_nevans_3             |  4023 |   4  | 
1342188039 |  211 | IRAS12496            |     |  12:53:17.20 | -77:07:10.70 |   28.20406 | Fri Dec 11 08:13:14 2009 UTC | Range | Nyquist     | SED B2A | chopNod   | small  |     | pointed                       | SDP_nevans_3             |  4023 |   4  | 
1342188040 |  211 | IRAS12496            |     |  12:53:17.20 | -77:07:10.70 |   28.19240 | Fri Dec 11 10:03:59 2009 UTC | Range | Nyquist     | SED B2B | chopNod   | small  |     | pointed                       | SDP_nevans_3             |  8785 |   4  | 
1342188426 |  222 | ISOPHOT Dark Field   |     |  17:49:10.00 |  69:48:26.00 |   -3.25971 | Tue Dec 22 04:48:00 2009 UTC | Range | Nyquist     | SED B2A | chopNod   | large  |     | pointed                       | Calibration_rppacs_3     |  1089 |   1  | 
1342188427 |  222 | ISOPHOT Dark Field   |     |  17:49:10.00 |  69:48:26.00 |   -3.26001 | Tue Dec 22 05:17:23 2009 UTC | Range | Nyquist     | SED B2B | chopNod   | large  |     | pointed                       | Calibration_rppacs_3     |  2283 |   1  | 
1342188428 |  222 | ISOPHOT Dark Field   |     |  17:49:10.00 |  69:48:26.00 |   -3.26036 | Tue Dec 22 06:00:17 2009 UTC | Range | Nyquist     | SED B3A | chopNod   | large  |     | pointed                       | Calibration_rppacs_3     |  2547 |   1  | 
1342188429 |  222 | ISOPHOT Dark Field   |     |  17:49:10.00 |  69:48:26.00 |   -3.26016 | Tue Dec 22 06:34:11 2009 UTC | Range | Nyquist     | SED B2A | chopNod   | medium |     | pointed                       | Calibration_rppacs_3     |  1205 |   1  | 
1342188430 |  222 | ISOPHOT Dark Field   |     |  17:49:10.00 |  69:48:26.00 |   -3.26049 | Tue Dec 22 07:03:30 2009 UTC | Range | Nyquist     | SED B2B | chopNod   | medium |     | pointed                       | Calibration_rppacs_3     |  2052 |   1  | 
1342188431 |  222 | ISOPHOT Dark Field   |     |  17:49:10.00 |  69:48:26.00 |   -3.26085 | Tue Dec 22 07:46:20 2009 UTC | Range | Nyquist     | SED B3A | chopNod   | medium |     | pointed                       | Calibration_rppacs_3     |  2825 |   1  | 
1342188432 |  222 | ISOPHOT Dark Field   |     |  17:49:10.00 |  69:48:26.00 |   -3.26057 | Tue Dec 22 08:20:09 2009 UTC | Range | Nyquist     | SED B2A | chopNod   | small  |     | pointed                       | Calibration_rppacs_3     |  1080 |   1  | 
